symbol,name,capital,industry,listed_date
1101,台泥,616,水泥工業,1962-2-9
1102,亞泥,336,水泥工業,1962-6-18
1216,統一,568,食品工業,1987-12-28
1301,台塑,637,塑膠工業,1964-7-27
1303,南亞,793,塑膠工業,1967-11-15
1326,台化,586,塑膠工業,1984-12-20
1402,遠東新,535,紡織纖維,1967-4-14
1590,亞德客-KY,19,電機機械,2010-12-13
2002,中鋼,1577,鋼鐵工業,1974-12-26
2105,正新,324,橡膠工業,1987-12-7
2207,和泰車,55,汽車工業,1997-2-25
2303,聯電,1283,半導體,1985-7-16
2308,台達電,260,電子零組件,1988-12-19
2317,鴻海,1386,其他電子業,1991-6-18
2327,國巨,50,電子零組件,1993-10-22
2330,台積電,2593,半導體,1994-9-5
2357,華碩,74,電腦及週邊,1996-11-14
2379,瑞昱,51,半導體,1998-10-26
2382,廣達,386,電腦及週邊,1999-1-8
2395,研華,77,電腦及週邊,1999-12-13
2408,南亞科,310,半導體,2000-8-17
2412,中華電,776,通信網路業,2000-10-27
2454,聯發科,159,半導體,2001-7-23
2474,可成,76,其他電子業,2001-9-19
2633,台灣高鐵,563,航運業,2016-10-27
2801,彰銀,1038,金融業,1962-2-9
2880,華南金,1285,金融業,2001-12-19
2881,富邦金,1150,金融業,2001-12-19
2882,國泰金,1470,金融業,2001-12-31
2884,玉山金,1257,金融業,2002-1-28
2885,元大金,1214,金融業,2002-2-4
2886,兆豐金,1360,金融業,2002-2-4
2887,台新金,1171,金融業,2002-2-18
2891,中信金,2000,金融業,2002-5-17
2892,第一金,1284,金融業,2003-1-2
2912,統一超,104,貿易百貨,1997-8-22
3008,大立光,13,光電業,2002-3-11
3034,聯詠,61,半導體,2002-8-26
3045,台灣大,351,通信網路業,2002-8-26
3711,日月光投控,438,半導體,2018-4-30
4904,遠傳,326,通信網路業,2005-8-24
4938,和碩,266,電腦及週邊,2010-6-24
5871,中租-KY,153,其他,2011-12-13
5876,上海商銀,448,金融業,2018-10-19
5880,合庫金,1333,金融業,2011-12-1
6415,矽力-KY,9,半導體,2013-12-12
6505,台塑化,953,油電燃氣業,2003-12-26
6669,緯穎,17,電腦及週邊,2019-3-27
8046,南電,65,電子零組件,2006-4-7
9910,豐泰,88,其他,1992-2-18
