date,symbol,margin_purchase,short_sale,foreign,trust,dealer,ftd_total
2016-4-15,1101,-104,-104,3977,1037,682,5696
2016-4-15,1102,-25,-25,2772,4,106,2882
2016-4-15,1216,-308,-308,6905,-1,83,6987
2016-4-15,1301,-3,-3,3629,-89,228,3768
2016-4-15,1303,-95,-95,5870,-61,52,5861
2016-4-15,1326,38,38,2698,600,355,3653
2016-4-15,1402,-348,-348,2708,16,118,2842
2016-4-15,1590,105,105,39,-68,11,-18
2016-4-15,2002,-215,-215,16102,619,-646,16075
2016-4-15,2105,-24,-24,3946,836,8,4790
2016-4-15,2207,-33,-33,344,-18,13,339
2016-4-15,2303,-71,-71,3442,-201,-39,3202
2016-4-15,2308,-447,-447,4947,-31,290,5206
2016-4-15,2317,-410,-410,5312,-122,-601,4589
2016-4-15,2327,-531,-531,64,-129,83,18
2016-4-15,2330,-462,-462,-3566,-1062,126,-4502
2016-4-15,2357,8,8,173,39,0,212
2016-4-15,2379,277,277,-3,307,-5,299
2016-4-15,2382,103,103,-569,-40,8,-601
2016-4-15,2395,1,1,-18,-2,14,-6
2016-4-15,2408,-461,-461,735,-39,-51,645
2016-4-15,2412,-12,-12,4820,34,81,4935
2016-4-15,2454,-484,-484,1329,88,-135,1282
2016-4-15,2474,140,140,-47,-112,174,15
2016-4-15,2801,43,43,1445,-65,-40,1340
2016-4-15,2880,-56,-56,2697,-61,-66,2570
2016-4-15,2881,430,430,8169,-283,406,8292
2016-4-15,2882,356,356,812,-38,-576,198
2016-4-15,2884,-428,-428,-187,-38,-354,-579
2016-4-15,2885,-2401,-2401,7240,56,-144,7152
2016-4-15,2886,-126,-126,16032,-88,50,15994
2016-4-15,2887,-1076,-1076,8611,-54,99,8656
2016-4-15,2891,2898,2898,-6349,16,171,-6162
2016-4-15,2892,-72,-72,960,-61,-255,644
2016-4-15,2912,-31,-31,449,17,1,467
2016-4-15,3008,-120,-120,221,-53,78,246
2016-4-15,3034,144,144,-896,-9,-67,-972
2016-4-15,3045,-9,-9,2191,-55,20,2156
2016-4-15,4904,-2,-2,334,31,43,408
2016-4-15,4938,-223,-223,1278,-213,-195,870
2016-4-15,5871,-29,-29,-227,2,-18,-243
2016-4-15,5880,9,9,2699,-48,26,2677
2016-4-15,6415,-11,-11,2,0,14,16
2016-4-15,6505,-96,-96,2530,129,43,2702
2016-4-15,8046,3,3,-86,10,-5,-81
2016-4-15,9910,-4,-4,251,-33,63,281
2016-4-18,1101,72,72,3336,597,307,4240
2016-4-18,1102,39,39,1886,0,103,1989
2016-4-18,1216,20,20,275,162,-71,366
2016-4-18,1301,39,39,1660,14,-3,1671
2016-4-18,1303,-216,-216,2602,80,-51,2631
2016-4-18,1326,-18,-18,2023,123,214,2360
2016-4-18,1402,153,153,-1071,0,-69,-1140
2016-4-18,1590,-5,-5,45,-3,8,50
2016-4-18,2002,1099,1099,4744,301,226,5271
2016-4-18,2105,-86,-86,4645,664,-39,5270
2016-4-18,2207,10,10,-8,0,-13,-21
2016-4-18,2303,73,73,-7471,0,2081,-5390
2016-4-18,2308,56,56,791,2062,260,3113
2016-4-18,2317,-1235,-1235,4272,-10,-422,3840
2016-4-18,2327,-321,-321,30,0,-448,-418
2016-4-18,2330,254,254,-5190,-308,274,-5224
2016-4-18,2357,-7,-7,80,8,0,88
2016-4-18,2379,-186,-186,-87,0,-30,-117
2016-4-18,2382,-15,-15,983,0,6,989
2016-4-18,2395,-7,-7,-20,0,-27,-47
2016-4-18,2408,-163,-163,73,0,159,232
2016-4-18,2412,11,11,1595,478,17,2090
2016-4-18,2454,-181,-181,18,0,-93,-75
2016-4-18,2474,362,362,-1473,-952,-175,-2600
2016-4-18,2801,-45,-45,667,0,66,733
2016-4-18,2880,1,1,1510,0,-25,1485
2016-4-18,2881,2377,2377,-9657,-368,-997,-11022
2016-4-18,2882,-968,-968,3326,0,-283,3043
2016-4-18,2884,-336,-336,507,0,-8,499
2016-4-18,2885,-112,-112,-1434,0,-121,-1555
2016-4-18,2886,-96,-96,835,-81,-302,452
2016-4-18,2887,-1009,-1009,-208,0,-14,-222
2016-4-18,2891,-2038,-2038,1387,0,-176,1211
2016-4-18,2892,1,1,-3145,0,-37,-3182
2016-4-18,2912,1,1,86,0,-1,85
2016-4-18,3008,-37,-37,126,-27,-31,68
2016-4-18,3034,-37,-37,-517,-2,97,-422
2016-4-18,3045,-10,-10,1542,240,54,1836
2016-4-18,4904,-88,-88,2108,48,-93,2063
2016-4-18,4938,-50,-50,-453,0,49,-404
2016-4-18,5871,-132,-132,644,0,-49,595
2016-4-18,5880,-125,-125,2245,0,-1,2244
2016-4-18,6415,23,23,-1,-32,-6,-39
2016-4-18,6505,-2,-2,-49,180,181,312
2016-4-18,8046,10,10,-26,0,-14,-40
2016-4-18,9910,25,25,-250,-1,32,-219
2016-4-19,1101,-204,-204,1738,9,-145,1602
2016-4-19,1102,72,72,-583,0,-176,-759
2016-4-19,1216,5,5,-615,-69,19,-665
2016-4-19,1301,-34,-34,5102,90,74,5266
2016-4-19,1303,57,57,1538,0,-23,1515
2016-4-19,1326,18,18,7517,-37,336,7816
2016-4-19,1402,33,33,492,0,-26,466
2016-4-19,1590,28,28,-56,157,-7,94
2016-4-19,2002,2405,2405,2722,220,842,3784
2016-4-19,2105,-13,-13,4601,106,-82,4625
2016-4-19,2207,26,26,-112,0,0,-112
2016-4-19,2303,176,176,-12557,-69,-1210,-13836
2016-4-19,2308,681,681,90,452,-138,404
2016-4-19,2317,1057,1057,-5924,-66,235,-5755
2016-4-19,2327,-103,-103,545,0,-557,-12
2016-4-19,2330,483,483,-4567,-157,27,-4697
2016-4-19,2357,-23,-23,40,4,-3,41
