date,symbol,open,high,low,close,shares,volume,pe,pb,yield_rate
2016-04-15,1101,33.1,33.85,32.5,33.55,12931,431589,21.51,1.15,3.96
2016-04-15,1102,29.55,29.95,29.35,29.9,4857,144809,20.62,0.74,3.68
2016-04-15,1216,58.3,59.0,58.2,59.0,13402,787651,23.79,3.48,3.39
2016-04-15,1301,81.5,82.4,81.1,82.0,5516,451852,16.91,1.82,4.39
2016-04-15,1303,65.2,66.3,65.2,66.3,7271,479447,14.73,1.62,4.98
2016-04-15,1326,84.7,85.0,84.4,84.8,6189,524834,17.97,1.75,4.13
2016-04-15,1402,25.15,25.85,25.1,25.75,6479,165840,17.17,0.7,3.88
2016-04-15,1590,215.0,216.0,208.0,211.0,601,126576,27.62,3.68,1.9
2016-04-15,2002,22.8,22.8,22.4,22.7,34311,776864,46.33,1.19,2.2
2016-04-15,2105,68.0,68.1,67.4,67.5,8991,610267,17.13,2.45,4.44
2016-04-15,2207,338.0,355.0,337.0,351.0,482,168988,19.61,4.87,2.99
2016-04-15,2303,12.75,12.85,12.65,12.85,33087,423248,11.9,0.7,4.28
2016-04-15,2308,144.5,150.0,143.5,150.0,8955,1322493,20.83,3.13,3.33
2016-04-15,2317,82.2,83.2,81.7,82.9,18495,1528138,8.83,1.29,5.19
2016-04-15,2327,58.3,59.5,58.3,59.2,1307,77406,10.55,1.52,6.76
2016-04-15,2330,157.0,160.0,156.0,159.5,50339,7971481,13.49,3.39,3.76
2016-04-15,2357,286.0,287.0,282.5,284.5,959,272764,12.36,1.26,5.27
2016-04-15,2379,88.3,88.8,87.2,88.4,2467,217266,18.38,2.0,6.79
2016-04-15,2382,55.8,56.0,54.9,55.3,4667,259677,11.94,1.61,6.87
2016-04-15,2395,230.5,234.5,230.5,232.5,522,121416,28.77,6.3,2.58
2016-04-15,2408,38.5,38.9,38.0,38.9,4952,190765,5.51,1.73,7.2
2016-04-15,2412,109.5,110.5,109.5,110.5,6148,677537,20.02,2.32,4.97
2016-04-15,2454,233.0,235.5,232.5,234.0,5936,1388909,14.1,1.52,9.4
2016-04-15,2474,264.5,267.5,263.0,264.0,4221,1118903,8.1,1.76,3.79
2016-04-15,2801,16.55,16.8,16.5,16.7,4630,77339,12.1,1.09,5.39
2016-04-15,2880,15.9,15.9,15.75,15.9,4775,75819,11.2,1.03,7.8
2016-04-15,2881,40.55,41.05,40.55,40.75,20186,822676,6.56,1.13,7.36
2016-04-15,2882,36.55,36.65,36.15,36.6,21765,794390,7.99,1.01,5.46
2016-04-15,2884,18.05,18.1,17.9,18.05,10036,180939,11.21,1.19,7.92
2016-04-15,2885,10.9,11.0,10.8,10.95,21017,229544,10.84,0.64,3.29
2016-04-15,2886,23.0,23.05,22.95,23.0,25498,586242,10.65,1.07,6.52
2016-04-15,2887,11.5,11.7,11.5,11.65,20435,236687,8.44,0.89,0.86
2016-04-15,2891,16.35,16.45,16.3,16.4,33764,553074,8.37,1.07,9.88
2016-04-15,2892,15.85,15.9,15.75,15.9,15307,242639,11.36,0.97,8.49
2016-04-15,2912,229.5,235.0,229.5,235.0,782,183191,29.67,9.01,3.06
2016-04-15,3008,2300.0,2470.0,2290.0,2465.0,2020,4813118,13.69,5.22,2.07
2016-04-15,3034,115.5,116.5,113.0,116.0,4680,537749,11.04,2.48,8.62
2016-04-15,3045,106.0,106.5,105.5,106.5,2843,302217,18.49,4.87,5.26
2016-04-15,4904,72.0,72.1,71.5,71.8,2987,214309,20.34,3.25,5.22
2016-04-15,4938,73.2,73.8,72.3,73.5,4593,336388,8.03,1.27,6.8
2016-04-15,5871,56.2,56.7,55.8,56.6,4137,232841,9.39,1.7,5.48
2016-04-15,5880,14.4,14.4,14.3,14.35,8533,122500,12.16,0.85,6.97
2016-04-15,6415,441.0,449.5,441.0,444.5,129,57486,28.94,7.55,0.45
2016-04-15,6505,92.2,94.0,92.2,94.0,3770,353060,18.91,3.36,4.26
2016-04-15,8046,32.0,32.0,31.65,31.65,195,6189,23.8,0.56,3.16
2016-04-15,9910,154.0,158.0,152.0,158.0,1519,235419,22.22,7.19,3.92
2016-04-18,1101,33.95,35.0,33.25,33.95,9634,328533,21.76,1.16,3.92
2016-04-18,1102,29.9,30.2,29.45,30.0,4326,129797,20.69,0.74,3.67
2016-04-18,1216,58.5,59.1,58.2,59.1,4462,262329,23.83,3.49,3.38
2016-04-18,1301,81.7,81.7,80.8,81.2,3500,284226,16.74,1.8,4.43
2016-04-18,1303,66.3,66.8,66.1,66.3,5682,377005,14.73,1.62,4.98
2016-04-18,1326,84.7,85.0,84.2,84.9,6158,521537,17.99,1.75,4.12
2016-04-18,1402,25.75,25.75,25.15,25.2,3280,83152,16.8,0.68,3.97
